BatsMan,OutNotOut,Runs,Balls,Fours,Sixes,SR,Match_ID,Match_Between,Position,Team
Rohit Sharma,Out,47,31,4,3,151.61,ODI # 4705,India vs Australia,1,India
Shubman Gill,Out,4,7,0,0,57.14,ODI # 4705,India vs Australia,2,India
Virat Kohli,Out,54,63,4,0,85.71,ODI # 4705,India vs Australia,3,India
Shreyas Iyer,Out,4,3,1,0,133.33,ODI # 4705,India vs Australia,4,India
KL Rahul,Out,66,107,1,0,61.68,ODI # 4705,India vs Australia,5,India
Ravindra Jadeja,Out,9,22,0,0,40.90,ODI # 4705,India vs Australia,6,India
Suryakumar Yadav,Out,18,28,1,0,64.28,ODI # 4705,India vs Australia,7,India
Mohammed Shami,Out,6,10,1,0,60.00,ODI # 4705,India vs Australia,8,India
Jasprit Bumrah,Out,1,3,0,0,33.33,ODI # 4705,India vs Australia,9,India
Kuldeep Yadav,Out,10,18,0,0,55.55,ODI # 4705,India vs Australia,10,India
Mohammed Siraj,Not Out,9,8,1,0,112.50,ODI # 4705,India vs Australia,11,India
David Warner,Out,7,3,1,0,233.33,ODI # 4705,India vs Australia,1,Australia
Travis Head,Out,137,120,15,4,114.16,ODI # 4705,India vs Australia,2,Australia
Mitchell Marsh,Out,15,15,1,1,100.00,ODI # 4705,India vs Australia,3,Australia
Steven Smith,Out,4,9,1,0,44.44,ODI # 4705,India vs Australia,4,Australia
Marnus Labuschagne,Not Out,58,110,4,0,52.72,ODI # 4705,India vs Australia,5,Australia
Glenn Maxwell,Not Out,2,1,0,0,200.00,ODI # 4705,India vs Australia,6,Australia
Quinton de Kock,Out,3,14,0,0,21.42,ODI # 4704,Australia vs South Africa,1,South Africa
Temba Bavuma,Out,0,4,0,0,0.00,ODI # 4704,Australia vs South Africa,2,South Africa
Rassie van der Dussen,Out,6,31,0,0,19.35,ODI # 4704,Australia vs South Africa,3,South Africa
Aiden Markram,Out,10,20,2,0,50.00,ODI # 4704,Australia vs South Africa,4,South Africa
Heinrich Klaasen,Out,47,48,4,2,97.91,ODI # 4704,Australia vs South Africa,5,South Africa
David Miller,Out,101,116,8,5,87.06,ODI # 4704,Australia vs South Africa,6,South Africa
Marco Jansen,Out,0,1,0,0,0.00,ODI # 4704,Australia vs South Africa,7,South Africa
Gerald Coetzee,Out,19,39,2,0,48.71,ODI # 4704,Australia vs South Africa,8,South Africa
Keshav Maharaj,Out,4,8,0,0,50.00,ODI # 4704,Australia vs South Africa,9,South Africa
Kagiso Rabada,Out,10,12,0,1,83.33,ODI # 4704,Australia vs South Africa,10,South Africa
Tabraiz Shamsi,Not Out,1,5,0,0,20.00,ODI # 4704,Australia vs South Africa,11,South Africa
Travis Head,Out,62,48,9,2,129.16,ODI # 4704,Australia vs South Africa,1,Australia
David Warner,Out,29,18,1,4,161.11,ODI # 4704,Australia vs South Africa,2,Australia
Mitchell Marsh,Out,0,6,0,0,0.00,ODI # 4704,Australia vs South Africa,3,Australia
Steven Smith,Out,30,62,2,0,48.38,ODI # 4704,Australia vs South Africa,4,Australia
Marnus Labuschagne,Out,18,31,2,0,58.06,ODI # 4704,Australia vs South Africa,5,Australia
Glenn Maxwell,Out,1,5,0,0,20.00,ODI # 4704,Australia vs South Africa,6,Australia
Josh Inglis,Out,28,49,3,0,57.14,ODI # 4704,Australia vs South Africa,7,Australia
Mitchell Starc,Not Out,16,38,2,0,42.10,ODI # 4704,Australia vs South Africa,8,Australia
Pat Cummins,Not Out,14,29,2,0,48.27,ODI # 4704,Australia vs South Africa,9,Australia
Rohit Sharma,Out,47,29,4,4,162.06,ODI # 4703,India vs New Zealand,1,India
Shubman Gill,Not Out,80,66,8,3,121.21,ODI # 4703,India vs New Zealand,2,India
Virat Kohli,Out,117,113,9,2,103.53,ODI # 4703,India vs New Zealand,3,India
Shreyas Iyer,Out,105,70,4,8,150.00,ODI # 4703,India vs New Zealand,4,India
KL Rahul,Not Out,39,20,5,2,195.00,ODI # 4703,India vs New Zealand,5,India
Suryakumar Yadav,Out,1,2,0,0,50.00,ODI # 4703,India vs New Zealand,6,India
Devon Conway,Out,13,15,3,0,86.66,ODI # 4703,India vs New Zealand,1,New Zealand
Rachin Ravindra,Out,13,22,3,0,59.09,ODI # 4703,India vs New Zealand,2,New Zealand
Kane Williamson,Out,69,73,8,1,94.52,ODI # 4703,India vs New Zealand,3,New Zealand
Daryl Mitchell,Out,134,119,9,7,112.60,ODI # 4703,India vs New Zealand,4,New Zealand
Tom Latham,Out,0,2,0,0,0.00,ODI # 4703,India vs New Zealand,5,New Zealand
Glenn Phillips,Out,41,33,4,2,124.24,ODI # 4703,India vs New Zealand,6,New Zealand
Mark Chapman,Out,2,5,0,0,40.00,ODI # 4703,India vs New Zealand,7,New Zealand
Mitchell Santner,Out,9,10,0,0,90.00,ODI # 4703,India vs New Zealand,8,New Zealand
Tim Southee,Out,9,10,1,0,90.00,ODI # 4703,India vs New Zealand,9,New Zealand
Trent Boult,Not Out,2,2,0,0,100.00,ODI # 4703,India vs New Zealand,10,New Zealand
Lockie Ferguson,Out,6,3,0,1,200.00,ODI # 4703,India vs New Zealand,11,New Zealand
